"","Y","lo","lo_Agoura Hills","lo_Alhambra","lo_Aliso Viejo","lo_Altadena","lo_Anaheim","lo_Apple Valley","lo_Arcadia","lo_Azusa","lo_Beverly Hills","lo_Brea","lo_Burbank","lo_Calabasas","lo_Camarillo","lo_Canoga Park","lo_Carson","lo_Century City","lo_Cerritos","lo_Chatsworth","lo_Chino","lo_City Of Industry","lo_Claremont","lo_Colton","lo_Commerce","lo_Corona","lo_Costa Mesa","lo_Culver City","lo_Dana Point","lo_Diamond Bar","lo_El Segundo","lo_Encino","lo_Fontana","lo_Foothill Ranch","lo_Fountain Valley","lo_Fullerton","lo_Garden Grove","lo_Gardena","lo_Glendale","lo_Glendora","lo_Harbor City","lo_Hawthorne","lo_Hermosa Beach","lo_Huntington Beach","lo_Inglewood","lo_Irvine","lo_Laguna Beach","lo_Laguna Hills","lo_Laguna Niguel","lo_Lake Forest","lo_Lakewood","lo_Long Beach","lo_Los Angeles","lo_Malibu","lo_Manhattan Beach","lo_Marina Del Rey","lo_Mission Viejo","lo_Monrovia","lo_Moorpark","lo_Murrieta","lo_Newport Beach","lo_North Hills","lo_North Hollywood","lo_Oak Park","lo_Ojai","lo_Ontario","lo_Orange","lo_Oxnard","lo_Pacific Palisades","lo_Pacoima","lo_Pasadena","lo_Playa Vista","lo_Port Hueneme Cbc Base","lo_Rancho Dominguez","lo_Rancho Santa Margarita","lo_Redlands","lo_Redondo Beach","lo_Rialto","lo_Riverside","lo_Rolling Hills Estates","lo_Rowland Heights","lo_San Bernardino","lo_San Clemente","lo_San Juan Capistrano","lo_San Pedro","lo_Santa Ana","lo_Santa Clarita","lo_Santa Fe Springs","lo_Santa Monica","lo_Santa Paula","lo_Seal Beach","lo_Sherman Oaks","lo_Simi Valley","lo_South Pasadena","lo_Studio City","lo_Sylmar","lo_Temecula","lo_Temple City","lo_Thousand Oaks","lo_Torrance","lo_Tustin","lo_Universal City","lo_Valencia","lo_Van Nuys","lo_Venice","lo_Ventura","lo_Walnut","lo_West Hills","lo_West Hollywood","lo_West Los Angeles","lo_Westlake Village","lo_Wildomar","lo_Winnetka","lo_Woodland Hills","lo_Yorba Linda"
"1",1,"Los Angeles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,"Newport Beach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,"Los Angeles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,"Manhattan Beach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,"Santa Monica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,"Santa Monica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1,"Los Angeles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,"Los Angeles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,"Los Angeles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,"Los Angeles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
