"","id","tr","Trademarks","Trademarks_0to10","Trademarks_10to100","Trademarks_100+","Trademarks_NA"
"1055",1055,"4","0to10",1,0,0,0
"1056",1056,"NA","NA",0,0,0,1
"1057",1057,"9","0to10",1,0,0,0
"1058",1058,"5","0to10",1,0,0,0
"1059",1059,"1","0to10",1,0,0,0
"1060",1060,"4","0to10",1,0,0,0
"1061",1061,"NA","NA",0,0,0,1
"1062",1062,"NA","NA",0,0,0,1
"1063",1063,"14","10to100",0,1,0,0
"1064",1064,"8","0to10",1,0,0,0
"1065",1065,"5","0to10",1,0,0,0
"1066",1066,"3","0to10",1,0,0,0
"1067",1067,"NA","NA",0,0,0,1
"1068",1068,"2","0to10",1,0,0,0
"1069",1069,"3","0to10",1,0,0,0
"1070",1070,"NA","NA",0,0,0,1
"1071",1071,"NA","NA",0,0,0,1
"1072",1072,"4","0to10",1,0,0,0
"1073",1073,"4","0to10",1,0,0,0
"1074",1074,"1","0to10",1,0,0,0
"1075",1075,"1","0to10",1,0,0,0
"1076",1076,"NA","NA",0,0,0,1
"1077",1077,"NA","NA",0,0,0,1
"1078",1078,"1","0to10",1,0,0,0
"1079",1079,"NA","NA",0,0,0,1
"1080",1080,"1","0to10",1,0,0,0
"1081",1081,"355","100+",0,0,1,0
"1082",1082,"58","10to100",0,1,0,0
"1083",1083,"4","0to10",1,0,0,0
"1084",1084,"4","0to10",1,0,0,0
"1085",1085,"NA","NA",0,0,0,1
"1086",1086,"2","0to10",1,0,0,0
"1087",1087,"0","0to10",1,0,0,0
"1088",1088,"59","10to100",0,1,0,0
"1089",1089,"NA","NA",0,0,0,1
"1090",1090,"0","0to10",1,0,0,0
"1091",1091,"10","0to10",1,0,0,0
"1092",1092,"6","0to10",1,0,0,0
"1093",1093,"1","0to10",1,0,0,0
"1094",1094,"NA","NA",0,0,0,1
"1095",1095,"NA","NA",0,0,0,1
"1096",1096,"7","0to10",1,0,0,0
"1097",1097,"2","0to10",1,0,0,0
"1098",1098,"5","0to10",1,0,0,0
"1099",1099,"3","0to10",1,0,0,0
"1100",1100,"NA","NA",0,0,0,1
"1101",1101,"NA","NA",0,0,0,1
"1102",1102,"3","0to10",1,0,0,0
"1103",1103,"NA","NA",0,0,0,1
